cor
Amarela
Branca
Parda
Branca
Branca
Branca
Branca
Preta
Branca
Parda
Parda
Branca
Parda
Branca
Parda
Parda
Parda
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Parda
Branca
Branca
Branca
Parda
Branca
Branca
Branca
Parda
Parda
Branca
Preta
Branca
Branca
Parda
Parda
Parda
Parda
Parda
Branca
Parda
Parda
Branca
Parda
Preta
Branca
Parda
Parda
Branca
Branca
Branca
Branca
Parda
Branca
Preta
Parda
Preta
Branca
Preta
Branca
Branca
Preta
Preta
Branca
Branca
Branca
Branca
Parda
Parda
Amarela
Branca
Parda
""
Preta
Parda
Branca
Parda
Parda
Branca
Parda
Branca
Indigena
Parda
Parda
Preta
""
Parda
Parda
Branca
Preta
Parda
Parda
Parda
Parda
Branca
Parda
Parda
Parda
Parda
Parda
Amarela
Parda
Parda
Branca
Branca
Branca
Parda
Amarela
Branca
Preta
Parda
Amarela
Parda
Parda
Branca
Parda
Parda
Parda
Parda
Parda
Branca
Branca
Parda
Parda
Preta
Branca
Parda
Parda
Parda
Parda
Parda
Parda
Branca
Branca
Parda
Parda
Parda
Branca
Parda
Parda
Parda
Branca
Parda
Branca
Parda
Amarela
Parda
Preta
Parda
Branca
Preta
""
Parda
Preta
Parda
Parda
Preta
Preta
Parda
Branca
Parda
Parda
Parda
Branca
Parda
Parda
Branca
Preta
Branca
Parda
Parda
Parda
Parda
Parda
Preta
Parda
Preta
Branca
Preta
Parda
Parda
Preta
Branca
Parda
Branca
Parda
Branca
Parda
Parda
Branca
""
Preta
Branca
Parda
Branca
Preta
Preta
Preta
Preta
Parda
""
Parda
Parda
Branca
Branca
Parda
Branca
Branca
Parda
Branca
Parda
Branca
Branca
Parda
Branca
Branca
Parda
Branca
Amarela
Branca
Branca
Branca
Parda
Branca
Parda
Amarela
Parda
Branca
Branca
Parda
Branca
Branca
Preta
Parda
Branca
Branca
Branca
Preta
Branca
Parda
Branca
Parda
Branca
Branca
Branca
Branca
Branca
Branca
Parda
Preta
Branca
Branca
Preta
Preta
Branca
Parda
Parda
Parda
Parda
Branca
Branca
Branca
Parda
Parda
Preta
Branca
Branca
""
Branca
Parda
Branca
Preta
Branca
Branca
Branca
Branca
Parda
Branca
Parda
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Parda
Parda
Parda
Branca
Branca
Parda
Branca
Branca
Branca
Branca
Parda
Branca
Parda
Branca
Parda
Branca
Amarela
Parda
Branca
Preta
Preta
""
""
Branca
Parda
Branca
""
Branca
Branca
Branca
Branca
Branca
Branca
Parda
Parda
Branca
Branca
Parda
Branca
Parda
Branca
Parda
Preta
""
Parda
Branca
Branca
Parda
Preta
Parda
Branca
Branca
Parda
Branca
Parda
Branca
Parda
Parda
Preta
Preta
Branca
Preta
Preta
Parda
Parda
Branca
Parda
Preta
Parda
Parda
Branca
Branca
Preta
Branca
Branca
Branca
Branca
Branca
Branca
Preta
Branca
Parda
""
Preta
Branca
Branca
Branca
Branca
Branca
Preta
Branca
Parda
Parda
Branca
""
Parda
Parda
Branca
Parda
Branca
Branca
Branca
Branca
Branca
Branca
Parda
Branca
Parda
Parda
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Parda
Branca
Branca
Parda
Branca
Parda
Parda
Branca
Preta
Branca
Parda
Preta
Branca
Branca
Amarela
Amarela
Parda
Branca
Branca
Parda
Preta
""
Branca
Parda
Branca
Branca
Parda
Parda
Branca
Parda
Parda
Parda
Branca
Parda
Branca
Branca
Branca
Preta
Branca
Parda
Parda
Preta
Parda
Branca
Parda
Parda
Branca
""
Parda
Preta
Parda
Parda
Preta
Branca
Parda
Preta
Branca
Branca
Parda
Branca
Branca
Branca
Parda
Branca
Branca
Parda
Parda
Amarela
Branca
Parda
Parda
Preta
Branca
Parda
Preta
Parda
Branca
Parda
Branca
Branca
Parda
Parda
Branca
Parda
Branca
Branca
Parda
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Parda
Branca
Branca
Branca
Branca
Branca
Parda
Branca
Branca
Parda
Branca
""
Parda
Branca
Branca
Branca
Branca
Branca
Parda
""
Branca
""
Branca
Branca
Branca
Preta
Preta
Branca
Branca
Branca
Branca
Branca
Parda
Parda
Parda
Branca
Branca
Branca
Preta
Parda
Branca
Branca
Branca
Branca
Preta
Branca
""
Parda
Branca
Branca
""
Parda
Branca
Parda
Branca
Branca
Branca
Preta
Branca
Parda
Branca
Parda
Parda
Parda
Parda
Branca
Branca
Parda
Parda
Branca
Branca
Branca
Branca
Preta
Branca
Parda
Branca
Branca
Preta
Branca
Branca
Preta
Branca
Branca
Branca
Parda
Branca
""
Branca
Branca
Parda
Branca
Branca
Branca
Preta
Amarela
Preta
Parda
""
Preta
Branca
Preta
Branca
Branca
Preta
Parda
Branca
Branca
Parda
Branca
Branca
Branca
Parda
Parda
Parda
Parda
Parda
Parda
Parda
Parda
Parda
Branca
Branca
Branca
Branca
Parda
Branca
Branca
Branca
Branca
Branca
Amarela
Branca
Branca
Preta
""
Parda
Branca
""
Branca
Branca
Branca
Branca
Parda
Branca
Parda
Branca
Branca
Branca
Parda
Branca
Parda
Branca
Parda
""
Branca
Branca
Parda
Parda
Branca
Branca
""
Parda
Branca
Branca
Parda
Parda
""
Branca
Branca
Branca
Parda
Branca
Branca
Parda
Branca
Parda
Branca
Branca
Preta
Parda
Parda
Branca
Parda
Branca
Parda
Parda
Branca
Branca
Branca
Branca
Amarela
Parda
Parda
Parda
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Branca
Parda
Parda
Parda
Parda
Branca
Parda
Parda
Branca
Branca
Preta
